Ticker,Exchange,Name,Months,Number of Contracts,Quandl Code
UN,CME,"European Naphtha Cargoes CIF NWE (Platts)",FGHJKMNQUVXZ,2,CHRIS/CME_UN
UO,CME,"PJM Northern Illinois Hub Off-Peak LMP",FGHJKMNQUVXZ,2,CHRIS/CME_UO
US,CME,"30-Year Treasury Bond",HMUZ,2,CHRIS/CME_US
US,ASX,"Sorghum",FHKNUX,6,CHRIS/ASX_US
UV,CME,"European 3.5% Fuel Oil Barges FOB Rdam (Platts)",FGHJKMNQUVXZ,3,CHRIS/CME_UV
UX,CME,"UxC Uranium U3O8",FGHJKMNQUVXZ,3,CHRIS/CME_UX
V3,CME,"PJM AEP Dayton Hub Real-Time Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,58,CHRIS/CME_V3
VC,ASX,"EA Canola",FHKNUX,6,CHRIS/ASX_VC
VCF,SGX,"Singapore Visco Spread",FGHJKMNQUVXZ,2,CHRIS/SGX_VCF
VM,CME,"PJM AEP Dayton Hub Real-Time Peak Calendar-Month 2.5 MW",FGHJKMNQUVXZ,2,CHRIS/CME_VM
VN,CBOE,"NASDAQ 100 VIX",FGHJKMNQUVXZ,2,CHRIS/CBOE_VN
VP,CME,"PJM AEP Dayton Hub Off-Peak LMP",FGHJKMNQUVXZ,2,CHRIS/CME_VP
VR,CME,"NY 1% Fuel Oil (Platts) vs. Gulf Coast 3% Fuel Oil (Platts)",FGHJKMNQUVXZ,2,CHRIS/CME_VR
VW,ASX,"NSW Wheat",FHKNUX,6,CHRIS/ASX_VW
VX,CBOE,"S&P 500 VIX",FGHJKMNQUVXZ,9,CHRIS/CBOE_VX
VXEW,CBOE,"Brazil ETF Volatility Index",FGHJKMNQUVXZ,2,CHRIS/CBOE_VXEW
W,LIFFE,"White Sugar",HKQVZ,8,CHRIS/LIFFE_W
W,CME,"Wheat",HKNUZ,7,CHRIS/CME_W
W4,CME,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,34,CHRIS/CME_W4
W6,CME,"PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,15,CHRIS/CME_W6
WA,ICE,"Milling Wheat",HKNVZ,11,CHRIS/ICE_WA
WA,ICE,"Milling Wheat",HKNVZ,11,CHRIS/ICE_WA
WCC,CME,"Canadian Heavy Crude Oil Index (Net Energy)",FGHJKMNQUVXZ,9,CHRIS/CME_WCC
WJ,CME,"LLS (Argus) vs. WTI Financial",FGHJKMNQUVXZ,22,CHRIS/CME_WJ
WK,ASX,"WA Wheat",FHKNUX,6,CHRIS/ASX_WK
WQ,CME,"Gasoil 0.1 Barges FOB Rdam (Platts) vs. Gasoil",HJKMNQUVXZ,2,CHRIS/CME_WQ
WR,SHFE,"Steel Wire",FGHJKMNQUVXZ,2,CHRIS/SHFE_WR
WS,CME,"Crude Oil Financial",FGHJKMNQUVXZ,9,CHRIS/CME_WS
X1,CME,"PJM AECO Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,39,CHRIS/CME_X1
XAF,CME,"E-mini Financial Sector",HM,2,CHRIS/CME_XAF
XAK,CME,"E-mini Technology Sector",HM,2,CHRIS/CME_XAK
XAP,CME,"E-mini Consumer Staples Sector",HM,2,CHRIS/CME_XAP
XAU,CME,"E-mini Utilities Sector",HM,2,CHRIS/CME_XAU
XAY,CME,"E-mini Consumer Discretionary Sector",HM,2,CHRIS/CME_XAY
XFC,LIFFE,"CAC40 Dividend Index",Z,3,CHRIS/LIFFE_XFC
XN,CME,"SoCal Natural Gas (Platts IFERC) Fixed Price",FGHJKMNQUVXZ,2,CHRIS/CME_XN
XS,ASX,"10-year Australian Interest Rate Swap",HMUZ,2,CHRIS/ASX_XS
XZ,LIFFE,"FTSE 100 Dividend Index",Z,4,CHRIS/LIFFE_XZ
Y,LIFFE,"FTSE 250 Index",HMUZ,1,CHRIS/LIFFE_Y
Y,ICE,"UK Base Electricity",FGHJKMNQUVXZ,2,CHRIS/ICE_Y
Y,ICE,"UK Base Electricity",FGHJKMNQUVXZ,2,CHRIS/ICE_Y
Y1,CME,"PJM AECO Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,12,CHRIS/CME_Y1
Y7,CME,"Tennessee 500 Leg Natural Gas (Platts Gas Daily/Platts IFERC) Index",HJKMNQUV,2,CHRIS/CME_Y7
YC,CME,"Mini-Corn",HKNUZ,3,CHRIS/CME_YC
YC,ODE,"Corn",GJMQVZ,5,CHRIS/ODE_YC
YH,CME,"NY Heating Oil (Platts) vs. NY Harbor ULSD",HJKMNQUV,2,CHRIS/CME_YH
YK,CME,"Mini Soybean",FHKNQUX,3,CHRIS/CME_YK
YM,CME,"E-mini Dow Jones",HMUZ,2,CHRIS/CME_YM
YS,ASX,"3-year Australian Interest Rate Swap",HMUZ,2,CHRIS/ASX_YS
YT,ASX,"3-year Australian Treasury Bonds",HMUZ,2,CHRIS/ASX_YT
YW,CME,"Mini Wheat",HKNUZ,2,CHRIS/CME_YW
YX,CME,"Mars (Argus) vs. WTI Financial",FGHJKMNQUVXZ,4,CHRIS/CME_YX
YZ,LIFFE,"FTSE 100 Declared Dividend Index",Z,2,CHRIS/LIFFE_YZ
Z,CME,"Euro/Polish Zloty",HMUZ,2,CHRIS/CME_Z
Z,LIFFE,"FTSE 100 Index",HMUZ,2,CHRIS/LIFFE_Z
Z1,CME,"Ethanol T2 FOB Rdam Including Duty (Platts)",HJKMNQUVXZ,2,CHRIS/CME_Z1
Z9,CME,"PJM AEP Dayton Hub 5MW Peak Calendar-Month Real-Time LMP",FGHJKMNQUVXZ,34,CHRIS/CME_Z9
ZJ,ICE,"New Zealand Dollar/Japanese Yen",HMUZ,2,CHRIS/ICE_ZJ
ZN,MCX,"Zinc",FGHJKMNQUVXZ,2,CHRIS/MCX_ZN
ZN,SHFE,"Zinc",FGHJKMNQUVXZ,6,CHRIS/SHFE_ZN
ZNM,MCX,"Zinc Mini",FGHJKMNQUVXZ,2,CHRIS/MCX_ZNM
ZR,ICE,"US Dollar/South African Rand",HMUZ,2,CHRIS/ICE_ZR
